KREIS	Gemeinde	Anlage	Inbetriebnahme	Leistung	Nabenhöhe	Rotordurchmesser	Ostwert	Nordwert	Status
Nordfriesland	Achtrup	0002 - WKA 2 Vestas V112- 3.0 MW - V204979	2014	3075 kW Nennleist. Rotor.	94	112	32506276	6071359	in Betrieb
Nordfriesland	Ahrenshöft	0003 - WKA NEG-Micon 1500/64/68	1998	1500 kW Nennleist. Rotor.	68	64	32505697	6045347	in Betrieb
Nordfriesland	Ahrenshöft	0002 - WKA NEG-Micon 1500/64/68	1998	1500 kW Nennleist. Rotor.	68	64	32505606	6045819	in Betrieb
Nordfriesland	Ahrenshöft	0004 - WKA Vensys 77	2009	1200 kW Nennleist. Rotor.	61,5	77	32505661	6046066	in Betrieb
Nordfriesland	Ahrenshöft	0001 - WKA Vestas V-63	1997	1500 kW Nennleist. Rotor.	60	63	32505704	6045553	in Betrieb
Nordfriesland	Ahrenviöl	0001 - WKA Nordex N80 Nx 8044	2002	2500 kW Nennleist. Rotor.	60	80	32516071	6042517	in Betrieb
Nordfriesland	Ahrenviöl	0001 - WKA Nordex N80 Nx 8045	2002	2500 kW Nennleist. Rotor.	60	80	32515551	6042578	in Betrieb
Nordfriesland	Ahrenviöl	0002 - WKA Nordex N80 Nx 8042	2002	2500 kW Nennleist. Rotor.	60	80	32515596	6042341	in Betrieb
Nordfriesland	Ahrenviöl	0001 - WKA Typ Nordex N80	2003	2500 kW Nennleist. Rotor.	60	80	32511893	6042474	in Betrieb
Nordfriesland	Ahrenviöl	0002 - WKA Typ Nordex N80	2003	2500 kW Nennleist. Rotor.	60	80	32512024	6042246	in Betrieb
Nordfriesland	Ahrenviöl	0007 - WKA 2 REpower 3.2 M 114		3200 kW Nennleist. Rotor.	93	114	32511675	6042233	im Gen.Verf.
Nordfriesland	Ahrenviöl	0008 - WKA 3 REpower 3.2 M 114		3200 kW Nennleist. Rotor.	93	114	32511623	6041866	im Gen.Verf.
Nordfriesland	Ahrenviöl	0003 - WKA Typ Nordex N80	2003	2500 kW Nennleist. Rotor.	60	80	32512221	6041906	in Betrieb
Nordfriesland	Ahrenviöl	0004 - WKA Typ Nordex N80	2003	2500 kW Nennleist. Rotor.	60	80	32512529	6041833	in Betrieb
Nordfriesland	Ahrenviöl	0005 - WKA Typ Nordex N80	2003	2500 kW Nennleist. Rotor.	60	80	32512488	6042142	in Betrieb
Nordfriesland	Ahrenviöl	0004 - WKA 4 Senvion 3.4M114NES - 301402	2017	3200 kW Nennleist. Rotor.	93	114	32514939	6041942	in Betrieb
Nordfriesland	Ahrenviöl	0003 - WKA 3 Senvion 3.4M114NES - 300887	2015	3200 kW Nennleist. Rotor.	93	114	32515055	6042233	in Betrieb
Nordfriesland	Ahrenviöl	0001 - WKA 1 Senvion 3.4M114NES - 300886	2015	3200 kW Nennleist. Rotor.	93	114	32514953	6042778	in Betrieb
Nordfriesland	Ahrenviöl	0002 - WKA 2 Senvion 3.4M114DFIG Nr. SE300888	2015	3200 kW Nennleist. Rotor.	93	114	32515111	6042553	in Betrieb
Nordfriesland	Ahrenviöl	0005 - WKA 5 Senvion 4.2M118		4200 kW Nennleist. Rotor.	119	118	32515305	6042884	im Gen.Verf.
Nordfriesland	Ahrenviölfeld	0001 - WKA Nordex N 80 Nx 8041	2002	2500 kW Nennleist. Rotor.	60	80	32516452	6042629	in Betrieb
Nordfriesland	Ahrenviölfeld	0009 - WKA Typ Nordex N 80 - SN 82555	2013	2500 kW Nennleist. Rotor.	60	80	32516365	6042321	in Betrieb
Nordfriesland	Ahrenviölfeld	0007 - WKA Typ Nordex N 80 - SN 82646	2013	2500 kW Nennleist. Rotor.	60	80	32515845	6042399	in Betrieb
Nordfriesland	Ahrenviölfeld	0008 - WKA Typ Nordex N 80 - SN 82554	2013	2500 kW Nennleist. Rotor.	60	80	32516130	6042264	in Betrieb
Nordfriesland	Ahrenviölfeld	0002 - WKA Nordex N 80 Nx 8043	2002	2500 kW Nennleist. Rotor.	60	80	32516583	6042426	in Betrieb
Nordfriesland	Ahrenviölfeld	0010 - WKA 10 (11) Typ Nordex N 80 - SN 82713	2013	2500 kW Nennleist. Rotor.	60	80	32516710	6042643	in Betrieb
Nordfriesland	Ahrenviölfeld	0001 - WKA Nordex N 80 Nx 8040	2002	2500 kW Nennleist. Rotor.	60	80	32516938	6042637	in Betrieb
Nordfriesland	Ahrenviölfeld	0001 - WKA 1 REpower 3.2 M 114 Nr. 300433	2014	3200 kW Nennleist. Rotor.	93	114	32518808	6043344	in Betrieb
Nordfriesland	Almdorf	0004 - WKA Siemens SWT 3.2-113 - S-3200-0941-001	2017	3200 kW Nennleist. Rotor.	92,5	113	32500968	6049759	in Betrieb
Nordfriesland	Almdorf	0001 - WKA Vestas V 80/2,0 MW - SN 12749 	2002	2000 kW Nennleist. Rotor.	60	80	32501102	6050146	in Betrieb
Nordfriesland	Almdorf	0003 - WKA Vestas V 80/2,0 MW - SN 12745	2002	2000 kW Nennleist. Rotor.	60	80	32500897	6049472	in Betrieb
Nordfriesland	Behrendorf	0008 - WKA Nordex N 100 - 2,5 MW - SN 81954	2012	2500 kW Nennleist. Rotor.	100	99,8	32513229	6047323	in Betrieb
Nordfriesland	Behrendorf	0004 - WKA Nordex N 117 - 2,5 MW - SN 82451	2012	2500 kW Nennleist. Rotor.	91	117	32514723	6047318	in Betrieb
Nordfriesland	Behrendorf	0009 - WKA 9 Nordex N100 - 3.3 MW	2017	3300 kW Nennleist. Rotor.	100	99,8	32513354	6047595	in Betrieb
Nordfriesland	Behrendorf	0001 - WKA Nordex N 100 - 2,5 MW - SN 81958	2012	2500 kW Nennleist. Rotor.	100	99,8	32513654	6047757	in Betrieb
Nordfriesland	Behrendorf	0002 - WKA Nordex N 100 - 2,5 MW - SN 81957	2012	2500 kW Nennleist. Rotor.	100	99,8	32513972	6047516	in Betrieb
Nordfriesland	Behrendorf	0005 - WKA Nordex N 100 - 2,5 MW - SN 82016	2012	2500 kW Nennleist. Rotor.	100	99,8	32514107	6047095	in Betrieb
Nordfriesland	Behrendorf	0006 - WKA Nordex N 100 - 2,5 MW - SN 81956	2012	2500 kW Nennleist. Rotor.	100	99,8	32513803	6047158	in Betrieb
Nordfriesland	Behrendorf	0003 - WKA Nordex N 100 - 2,5 MW - SN 82057	2012	2500 kW Nennleist. Rotor.	100	99,8	32514375	6047485	in Betrieb
Nordfriesland	Behrendorf	0007 - WKA Nordex N 100 - 2,5 MW - SN 81955	2012	2500 kW Nennleist. Rotor.	100	99,8	32513500	6047189	in Betrieb
Nordfriesland	Behrendorf	0010 - WKA 10 Nordex N100 - 3.3 MW	2017	3300 kW Nennleist. Rotor.	100	99,8	32513663	6047432	in Betrieb
Nordfriesland	Behrendorf	0005 - WKA 3.5 Senvion 3.2M114 - SN 300797	2015	3200 kW Nennleist. Rotor.	93	114	32513200	6046929	in Betrieb
Nordfriesland	Behrendorf	0003 - WKA 3.3 Senvion 3.2M114 - SN 300799	2015	3200 kW Nennleist. Rotor.	93	114	32514888	6047653	in Betrieb
Nordfriesland	Behrendorf	0006 - WKA 3.6 Senvion 3.4M114 - SN 301027	2016	3200 kW Nennleist. Rotor.	93	114	32515789	6047620	in Betrieb
Nordfriesland	Behrendorf	0001 - WKA 3.1 Senvion 3.4M114 NES - SN 300801	2015	3400 kW Nennleist. Rotor.	93	114	32513720	6048080	in Betrieb
Nordfriesland	Behrendorf	0002 - WKA 3.2 Senvion 3.2M114 - SN 300798	2015	3200 kW Nennleist. Rotor.	93	114	32514677	6047938	in Betrieb
Nordfriesland	Behrendorf	0004 - WKA 3.4 Senvion 3.2M114 - SN 300800	2015	3200 kW Nennleist. Rotor.	93	114	32515330	6047987	in Betrieb
Nordfriesland	Bohmstedt	0011 - WKA 2 Enercon E-70/E4 - SN 784536	2014	2300 kW Nennleist. Rotor.	64	71	32504522	6048557	in Betrieb
Nordfriesland	Bohmstedt	0015 - WKA 6 Enercon E-70/E4 - SN 784540	2014	2300 kW Nennleist. Rotor.	64	71	32504033	6048266	in Betrieb
Nordfriesland	Bohmstedt	0010 - WKA 1 Enercon E-70/E4 - SN 784535	2014	2300 kW Nennleist. Rotor.	64	71	32504279	6048762	in Betrieb
Nordfriesland	Bohmstedt	0014 - WKA 5 Enercon E-70/E4 - SN 784539	2014	2300 kW Nennleist. Rotor.	64	71	32504661	6048388	in Betrieb
Nordfriesland	Bohmstedt	0017 - WKA 8 Enercon E-70/E4 - SN 784542	2014	2300 kW Nennleist. Rotor.	64	71	32504598	6048136	in Betrieb
Nordfriesland	Bohmstedt	0013 - WKA 4 Enercon E-70/E4 - SN 784538	2014	2300 kW Nennleist. Rotor.	64	71	32504227	6048502	in Betrieb
Nordfriesland	Bohmstedt	0012 - WKA 3 Enercon E-70/E4 - SN 784537	2014	2300 kW Nennleist. Rotor.	64	71	32504855	6048712	in Betrieb
Nordfriesland	Bohmstedt	0018 - WKA 9 Enercon E-70/E4 - SN 784543	2014	2300 kW Nennleist. Rotor.	64	71	32504213	6047931	in Betrieb
Nordfriesland	Bohmstedt	0016 - WKA 7 Enercon E-70/E4 - SN 784541	2014	2300 kW Nennleist. Rotor.	64	71	32504327	6048233	in Betrieb
Nordfriesland	Bondelum	0012 - WKA B6 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32519497	6046038	im Gen.Verf.
Nordfriesland	Bondelum	0011 - WKA B5 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32519160	6045794	im Gen.Verf.
Nordfriesland	Bondelum	0010 - WKA B4 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32518789	6045604	im Gen.Verf.
Nordfriesland	Bondelum	0009 - WKA B3 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32518415	6044806	im Gen.Verf.
Nordfriesland	Bondelum	0008 - WKA B2 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32518855	6044688	im Gen.Verf.
Nordfriesland	Bondelum	0003 - WKA B9 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32517956	6046652	im Gen.Verf.
Nordfriesland	Bondelum	0002 - WKA B8 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32517577	6046779	im Gen.Verf.
Nordfriesland	Bondelum	0001 - WKA B7 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32516996	6046854	im Gen.Verf.
Nordfriesland	Bondelum	0006 - WKA B12 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32517908	6047053	im Gen.Verf.
Nordfriesland	Bondelum	0005 - WKA B11 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32517421	6047104	im Gen.Verf.
Nordfriesland	Bondelum	0004 - WKA B10 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32517060	6047395	im Gen.Verf.
Nordfriesland	Bondelum	0007 - WKA B1 Senvion 3.4M 114		3400 kW elektr. Leistung	93	114	32519383	6044482	im Gen.Verf.
Nordfriesland	Bondelum	0002 - WKA 2 REpower 3.2 M 114 - SN 300432	2014	3200 kW Nennleist. Rotor.	93	114	32519117	6043572	in Betrieb
Nordfriesland	Bordelum	0001 - WKA ENERCON E-115 SN 1150444	2016	3000 kW Nennleist. Rotor.	92	115,7	32492331	6056124	in Betrieb
Nordfriesland	Bordelum	0002 - WKA ENERCON E-115 SN 1150445	2016	3000 kW Nennleist. Rotor.	92	115,7	32492561	6055866	in Betrieb
Nordfriesland	Bordelum	0003 - WKA ENERCON E-115 SN 1150446	2016	3000 kW Nennleist. Rotor.	92	115,7	32492791	6055609	in Betrieb
Nordfriesland	Bordelum	0001 - WKA 1 Enercon E 101 - SN 1011443	2017	3000 kW Nennleist. Rotor.	99	101	32493045	6054599	in Betrieb
Nordfriesland	Bordelum	0004 - WKA D9 Enercon E-70/E4 - SN 783201	2010	2300 kW Nennleist. Rotor.	64	70	32501259	6055874	in Betrieb
Nordfriesland	Bordelum	0011 - WKA D6 Enercon E82/E2 - SN 825510	2013	2300 kW Nennleist. Rotor.	98	82	32501117	6056168	in Betrieb
Nordfriesland	Bordelum	0013 - WKA D8 Enercon E82/E2 - SN 825511	2013	3000 kW Nennleist. Rotor.	98	82	32501481	6055595	in Betrieb
Nordfriesland	Bordelum	0012 - WKA D7 Enercon E82/E2 - SN 825508	2013	2300 kW Nennleist. Rotor.	78	82	32501458	6056068	in Betrieb
Nordfriesland	Bordelum	0002 - WKA AN Bonus 1MW/54	2002	1000 kW Nennleist. Rotor.	72	54	32499766	6055247	in Betrieb
