"KREIS";"GEMEINDE";"TYP";"HERSTELLER";"NABENHOEHE";"ROTORDURCHMESSER";"SCHALLLEISTUNGSPEGEL";"LEISTUNG";"LEISTUNGSBEZUG";"OSTWERT";"NORDWERT";"GENEHMIGT_AM";"INBETRIEBNAHME";"STATUS";"BST_NR";"ANL_NR";"DATENDATUM";"DATENQUELLE"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 105,2dB(A)";3200;"kW Nennleist. Rotor.";32505479;5984209;06.08.2014;29.06.2015;"in Betrieb";"51006506696";"0007";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 REpower 3.4 M";"REpower";"80";"104";"105,6 dB(A), 100 dB(A)";3400;"kW Nennleist. Rotor.";32505375;5975134;01.08.2014;08.10.2015;"in Betrieb";"51011003789";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104 dB(A)tags; 103 dB(A) nachts";2000;"kW Nennleist. Rotor.";32505505;5972178;20.12.2007;26.11.2010;"in Betrieb";"51011003790";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 103,8dB(A) nachts ";2000;"kW Nennleist. Rotor.";32504611;5972535;20.12.2007;26.11.2010;"in Betrieb";"51011003790";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 103,8 dB(A) nachts";2000;"kW Nennleist. Rotor.";32504387;5972614;20.12.2007;26.11.2010;"in Betrieb";"51011003790";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504734;5972726;20.12.2007;26.11.2010;"in Betrieb";"51011003790";"0004";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504779;5972960;20.12.2007;26.11.2010;"in Betrieb";"51011003790";"0005";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 103,4dB(A) nachts";2000;"kW Nennleist. Rotor.";32505288;5972265;20.12.2007;26.11.2010;"in Betrieb";"51011003791";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A)tags; 103,8dB(A) nachts";2000;"kW Nennleist. Rotor.";32505073;5972355;20.12.2007;26.11.2010;"in Betrieb";"51011003792";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504848;5972436;20.12.2007;26.11.2010;"in Betrieb";"51011003793";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
